source,id,kind,status,reliability,description,x_2876_ft,y_2876_ft,z_ft,distance_ft,source_url
county_control_bank,CO060010N0710W0_600300,Section,Active PLSS,D,Yes - Corner Card Point,3055752.1158999996,1253415.8399,0,5416.724,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=21&p_index_letter=J&p_received_date=&p_operation=Search
county_control_bank,N405-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063425.4200999998,1251821.2621,5412.98,5463.417, 
county_control_bank,CO060010N0700W0_100240,Quarter,Active PLSS,D,Yes - Corner Card Point,3061048.6761,1250887.4339,0,5480.173,http://www.dora.state.co.us/pls/real/DDMS_Monument_Search_GUI.Process_Monument_Search_Form?p_meridian=6&p_township=01.0N&p_range=071.0W&p_index_number=25&p_index_letter=G&p_received_date=&p_operation=Search
county_control_bank,CO060010N0710W0_640440,Quarter,Active PLSS,D, ,3058359.1402000003,1261469.4068,0,5512.202, 
county_control_bank,X7-1-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059562.1128000002,1250838.5101,5441.76,5533.879, 
county_control_bank,L8-3,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3063975.4721,1251987.369,5354.16,5665.308, 
county_control_bank,N405-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3062628.0001,1251140.0,5421.13,5668.594, 
county_control_bank,R-6-2,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3058379.3859,1250993.2759,5481.04,5670.457, 
county_control_bank,N-12,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3060970.2039,1261976.3901,5506.8,5693.509, 
county_control_bank,T-1-1,Bench Mark,Available non-PLSS,D,"City of Boulder Benchmarks, mapped location digitzed",3059168.1870999997,1261898.0779,5558.99,5697.129, 
county_control_bank,CO060010N0710W0_640240,Quarter,Active PLSS,D,Yes - Corner Card Point,3058398.4652000004,1250869.3047,0,5780.674, 
