Table 1
ROSE Residence,,,,,,,,,,
Landscape Construction Work Outline RETAIL + VENDOR BUDGET WORKSHEET1.0 ,,,,,,,,,,
Site Plan dated 4/7/2026,,,,,,,,,,
,,,,,,,,,,
DESCRIPTION,QTY,UNIT ,RETAIL UNIT PRICE,VENDOR UNIT PRICE,PHASE 1 RETAIL,PHASE  2 RETAIL,PHASE 1 VENDOR,PHASE  2 VENDOR,PROJECT TOTAL RETAIL,PROJECT TOTAL WHOLESALE
"Steel Retaining Walls @ South Side, Material A588 Weathering Steel (Corten)",1,ea,"$20,367.60","$18,516.00","$20,367.60",,"$	18,516.00",,,
VAULT FOR SOAKING TUB,,,,,,,,,,
Vault,1,ea,"$10,000.00",,"$10,000.00",,"$	8,000.00",,,
Support for Removable Panels,1,ea,"$2,500.00",,"$2,500.00",,"$	2,000.00",,,
Removable Panels,1,ea,"$5,000.00",,"$5,000.00",,"$	4,000.00",,,
Engineering,1,ea,"$1,500.00",,"$1,500.00",,"$	1,200.00",,,
Custom Stone Fire Pit,1,ea,"$8,500.00",,"$8,500.00",,"$	6,800.00",,,
Steel Planters,1,ea,"$11,550.00",,"$11,550.00",,"$	9,240.00",,,
Steel Retaining Walls @ Fire Pit Patio,15,lf,$500.00,,"$7,500.00",,"$	6,000.00",,,
Footers,15,lf,$120.00,,"$1,800.00",,"$	1,440.00",,,
Steel Privacy Panels,20,lf,$360.00,,"$7,200.00",,"$	5,760.00",,,
,,,,,,,,,,
EXCLUSIONS,,,,,,,,,,
" Budget does not include: Furniture, Rough Grading, Landscape Maintenance, Subgrade Drainage, Third Party Inspections, Tree Removal, or anything not explicitly stated above.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"
1.0 This budget has been prepared based off of the plans dated in the title. Assumes site will be delivered in a clean and orderly manner. Due to inflation and tariffs, pricing is subject to change throughout the course of construction and will be billed at actual price incurred for completed work. Due to the increased demand for imported goods as well as global supply chain issues, any ordered products and materials are subject to long lead times that may change over the course of the project, therefore any delivery date provided on orders are to be viewed as an approximate target date and cannot be guaranteed. Does not include Landscape Maintenance. Pricing is based off yearly averages as observed by Marpa Landscape Architecture and may vary compared to firm bids. The plans referenced are at a Schematic Design level, therefore there is the possibility for unknown details, as well as additional unknown / unidentified costs. This document is not a firm bid and is not to be used for contracts or construction. Marpa Recommends a 10% contingency is planned upon by the homeowner for unforeseen events which occur during the installation process. 2.0 Assumes use of driveway for access. Assumes job trailer can be parked on site. Does not include street occupancy or parking permits if needed. Marpa is not liable for regular wear and tear to public right of way (roads, alleys, sidewalks, etc.) that are necessary to use for access to the project. Transplanting existing trees is a risky process, with typically 50% success rate. Transplanted trees are not covered under warranty. Does not include permit or tax reconciliation fees that may be required by the relevant government authority after the completion of the Project. 3.0 Actual boulder size and locations will vary from plan, based on selection available at quarry / landscape yard. Trips to select boulders are subject to mileage reimbursement at the current IRS Standard Mileage Rate. 4.0 Sand-Finish concrete requires at least 3-4 continuous nights of temperatures above 45° to pour and cure. Control joints to be cut into concrete per the plans to help control the areas in which concrete is likely to crack, not prevent cracking. Hairline cracks may appear outside of the control joints. The presence of a hairline crack does not mean the installation was done improperly, nor does it indicate a flaw in the concrete or structural issues. The use of snow melt products on finished concrete will cause corrosion within the layers of concrete, resulting in pitting and cracking; any damage resulting from the use of snow melt products is not covered by warranty.  5.0 Sod requires minimum 2 weeks to set with no traffic of any kind. All warranties on sod, which is planted between September and April, will be considered waived, voided, and null unless the Client agrees to have the Contractor perform winter watering services as needed during the winter months while irrigation systems are winterized. 6.0 Irrigation pricing assumes points of connection, electrical and WiFi will be provided by other. Assumes controllers are to be wall mounted in the same location as the points of connection, unless otherwise noted. Final design and pressure at POCs at time of installation may affect final price. Does not include irrigation winterization and / or start up during the season following installation. 7.0 Assumes outlets to be provided at house for lighting transformer. Integration of lighting into house to be under the House Contractor’s scope. Homeowner to assume responsibility should lighting plan not be dark sky compliant. 8.0 Seed includes a single application. Seed often requires multiple applications to be fully effective. Additional applications will be billed as a change order. No warranty is given for seed. 9.0 Plant species, quantities, and size are subject to change based on availability at time of planting, as well as creative direction from Landscape Architect. Trips to select plant material are subject to mileage reimbursement at the current IRS Standard Mileage Rate. Planting window for grasses, perennials, and shrubs is after last frost in the spring and before first frost in the fall. All warranties on plant material will be considered waived, voided, and null unless the Client agrees to have the Contractor perform winter watering services as needed during the winter months while irrigation systems are winterized.
10.0 Additional cost may be required for: tenting and / or heating at time of plaster (pending cold weather temperatures), dewatering and perimeter drain (if ground water is encountered during excavation). 11.0 Allowances are rough estimates for cost of work. Actual prices will be furnished at time of invoicing. 12.0 Rough Budget Contingency is included to cover unforeseen details and costs, as the plans are not at a Construction Document level. This cost is a percentage calculation and meant to convey that, though thorough, this document may be missing costs in certain areas.
13.0 Add Options are not included in the Project Total or scope of work. Should they be added to the scope, they will be presented as a Change Order and include a Marpa Design & Planning, Oversight, Quality Control & Contracting Fee.
",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
